-401	-111	25	356
-38	-262	30	270
735	-155	21	199
889	229	23	346
-309	207	16	210
651	-216	26	251
-666	202	19	182
188	-63	18	204
555	-143	19	97
-876	-83	19	271
825	88	17	41
521	267	19	104
244	291	20	314
409	164	15	114
-315	164	25	101
359	-76	28	137
-536	-298	20	318
643	-44	16	13
-853	-33	24	164
758	196	30	311
677	107	21	281
809	-112	22	82
48	156	28	133
663	131	29	221
350	-155	15	100
-466	188	23	309
890	-241	23	217
538	-170	22	154
810	247	22	294
764	78	21	237
-394	148	17	269
399	-243	26	35
238	-56	28	59
393	278	18	260
-571	-4	25	53
655	-300	24	9
327	288	28	228
761	240	15	310
689	-86	23	117
652	188	21	12
90	-234	29	168
74	-148	26	250
335	-6	27	197
598	207	16	316
-12	-122	22	292
109	160	22	275
-224	-184	22	84
574	-102	16	314
-5	169	25	0
36	-167	18	40
-487	172	22	309
750	7	16	290
-491	-39	18	228
162	-107	30	120
285	121	15	324
-844	-141	27	116
-457	-179	21	23
542	85	16	292
-775	281	19	336
-865	-167	23	57
223	-152	22	167
727	109	19	113
-282	-253	23	356
-784	5	16	211
642	-75	17	123
808	-89	15	239
-701	270	20	19
-176	49	18	301
-584	-138	22	74
-540	168	16	12
-398	162	17	103
282	96	18	189
-826	248	30	349
742	298	25	220
-418	-278	28	100
-803	159	29	11
244	155	28	238
291	-1	15	88
540	-208	20	216
-668	53	23	103
-59	-80	27	12
347	193	24	14
-410	163	23	44
-596	73	26	240
-400	283	18	104
-884	227	21	87
739	252	30	51
-263	283	16	254
-307	-68	28	257
-639	242	16	186
317	-95	22	210
693	235	28	242
696	135	23	313
-610	199	25	153
-527	-71	16	261
696	-179	24	315
473	3	28	252
-806	33	30	286
-323	201	24	264
779	19	18	285
